1/1                       210 ns
10/1                      419 ns
10/10                     986 ns
100/1                    1652 ns
100/10                   7185 ns
100/100                 15638 ns
1000/1                  14298 ns
1000/10                 43907 ns
1000/100               140128 ns
1000/1000              209433 ns
10000/1                135544 ns
10000/10               294269 ns
10000/100              699868 ns
10000/1000            1655144 ns
10000/10000           2729871 ns
100000/1              1202450 ns
100000/10             2804146 ns
100000/100            5586083 ns
100000/1000          10537923 ns
100000/10000         26888031 ns
100000/100000        47042833 ns
1000000/1            10207709 ns
1000000/10           23822864 ns
1000000/100          48013642 ns
1000000/1000         93677531 ns
1000000/10000       224206891 ns
1000000/100000      424254887 ns
1000000/1000000     430201336 ns
10000000/1           87626336 ns
10000000/10         186256254 ns
10000000/100        445200095 ns
10000000/1000       788205621 ns
10000000/10000     1513360121 ns
10000000/100000    3964472889 ns
10000000/1000000   3992317706 ns
10000000/10000000  4413551063 ns
