1000/1/1             63034 ns
1000/1/10            61761 ns
1000/1/100           56589 ns
1000/1/1000          49319 ns
1000/3/1             66777 ns
1000/3/10            58717 ns
1000/3/100           56804 ns
1000/3/1000          48720 ns
1000/5/1             62543 ns
1000/5/10            59933 ns
1000/5/100           55517 ns
1000/5/1000          50323 ns
1000/7/1             62294 ns
1000/7/10            58093 ns
1000/7/100           57995 ns
1000/7/1000          48737 ns
1000/9/1             65275 ns
1000/9/10            58320 ns
1000/9/100           55823 ns
1000/9/1000          52700 ns
10000/1/1           618030 ns
10000/1/10          585186 ns
10000/1/100         561794 ns
10000/1/1000        475805 ns
10000/3/1           682034 ns
10000/3/10          595941 ns
10000/3/100         541976 ns
10000/3/1000        474581 ns
10000/5/1           643749 ns
10000/5/10          629726 ns
10000/5/100         541685 ns
10000/5/1000        471922 ns
10000/7/1           661569 ns
10000/7/10          598908 ns
10000/7/100         544637 ns
10000/7/1000        486711 ns
10000/9/1           639056 ns
10000/9/10          605204 ns
10000/9/100         545964 ns
10000/9/1000        470923 ns
100000/1/1         7196226 ns
100000/1/10        6109055 ns
100000/1/100       5599500 ns
100000/1/1000      4947889 ns
100000/3/1         6843235 ns
100000/3/10        6383253 ns
100000/3/100       5518823 ns
100000/3/1000      4925386 ns
100000/5/1         6867045 ns
100000/5/10        6034994 ns
100000/5/100       5482852 ns
100000/5/1000      4888076 ns
100000/7/1         6887274 ns
100000/7/10        6413551 ns
100000/7/100       5407927 ns
100000/7/1000      5057456 ns
100000/9/1         6839953 ns
100000/9/10        6062788 ns
100000/9/100       5737076 ns
100000/9/1000      4898073 ns
1000000/1/1       63722564 ns
1000000/1/10      58907317 ns
1000000/1/100     58551077 ns
1000000/1/1000    58231144 ns
1000000/3/1       60686636 ns
1000000/3/10      58404481 ns
1000000/3/100     63772079 ns
1000000/3/1000    57273479 ns
1000000/5/1       60653274 ns
1000000/5/10      61089453 ns
1000000/5/100     58197996 ns
1000000/5/1000    57662130 ns
1000000/7/1       65237738 ns
1000000/7/10      59473138 ns
1000000/7/100     58702139 ns
1000000/7/1000    59298025 ns
1000000/9/1       60402495 ns
1000000/9/10      59297078 ns
1000000/9/100     62046520 ns
1000000/9/1000    58261621 ns
10000000/1/1     595965639 ns
10000000/1/10    624566108 ns
10000000/1/100   585045490 ns
10000000/1/1000  591711882 ns
10000000/3/1     618570909 ns
10000000/3/10    602212962 ns
10000000/3/100   595473682 ns
10000000/3/1000  593565876 ns
10000000/5/1     588103182 ns
10000000/5/10    590887419 ns
10000000/5/100   596597770 ns
10000000/5/1000  615695901 ns
10000000/7/1     594471092 ns
10000000/7/10    599208109 ns
10000000/7/100   651895021 ns
10000000/7/1000  592472927 ns
10000000/9/1     599243516 ns
10000000/9/10    589701905 ns
10000000/9/100   627388798 ns
10000000/9/1000  586315924 ns
